"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"491_0.0004_0.0004_-0.022_0.024_0" 13 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 24 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 25 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 26 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 26 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 27 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 27 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 28 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 28 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 29 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 29 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 29 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 29 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 30 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 31 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 32 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 33 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 34 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 34 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"507_0.0004_0.0004_-0.022_0.024_0" 34 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 16 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 16 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 16 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 17 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 17 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"509_0.0004_0.0004_-0.022_0.024_0" 17 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
