"ID" "ageOfParent" "survivalProb" "expectedAgeAtDeath"
324 14 0.704688 2.02529
324 15 0.740818 2.37584
324 15 0.67032 1.75333
324 15 0.67032 1.75333
325 1 0.704688 2.02529
325 1 0.740818 2.37584
325 2 0.637628 1.53644
326 0 0.637628 1.53644
326 0 0.704688 2.02529
326 0 0.606531 1.35963
326 0 0.67032 1.75333
326 1 0.778801 2.84409
326 1 0.778801 2.84409
326 1 0.904837 6.12228
326 1 0.778801 2.84409
326 1 0.818731 3.50033
327 1 0.818731 3.50033
327 2 0.860708 4.48464
327 2 0.778801 2.84409
327 2 0.704688 2.02529
327 2 0.818731 3.50033
328 12 0.704688 2.02529
328 12 0.740818 2.37584
328 12 0.818731 3.50033
328 12 0.904837 6.12228
328 13 0.606531 1.35963
329 2 0.860708 4.48464
329 3 0.818731 3.50033
329 3 0.778801 2.84409
329 3 0.778801 2.84409
329 3 0.704688 2.02529
330 2 0.778801 2.84409
330 2 0.740818 2.37584
330 3 0.606531 1.35963
331 2 0.818731 3.50033
331 2 0.904837 6.12228
331 3 0.704688 2.02529
332 7 0.778801 2.84409
332 7 0.740818 2.37584
332 7 0.740818 2.37584
332 7 0.67032 1.75333
332 8 0.704688 2.02529
332 8 0.57695 1.21289
333 7 0.67032 1.75333
333 7 0.740818 2.37584
333 7 0.818731 3.50033
334 1 0.740818 2.37584
334 1 0.637628 1.53644
334 1 0.637628 1.53644
334 2 0.704688 2.02529
334 2 0.740818 2.37584
334 2 0.637628 1.53644
335 1 0.904837 6.12228
335 1 0.818731 3.50033
335 2 0.778801 2.84409
335 2 0.57695 1.21289
335 2 0.778801 2.84409
335 2 0.704688 2.02529
336 0 0.740818 2.37584
336 0 0.606531 1.35963
336 0 0.704688 2.02529
336 1 0.704688 2.02529
337 4 0.67032 1.75333
337 4 0.740818 2.37584
337 4 0.818731 3.50033
337 5 0.778801 2.84409
338 4 0.818731 3.50033
339 1 0.860708 4.48464
339 2 0.637628 1.53644
339 2 0.904837 6.12228
340 0 0.778801 2.84409
340 0 0.778801 2.84409
340 1 0.67032 1.75333
340 1 0.740818 2.37584
340 1 0.740818 2.37584
340 1 0.818731 3.50033
341 2 0.637628 1.53644
341 2 0.704688 2.02529
342 0 0.740818 2.37584
342 0 0.778801 2.84409
342 0 0.860708 4.48464
342 1 0.818731 3.50033
342 1 0.67032 1.75333
343 3 0.818731 3.50033
343 3 0.740818 2.37584
343 3 0.740818 2.37584
343 3 0.740818 2.37584
343 4 0.704688 2.02529
343 4 0.704688 2.02529
343 4 0.818731 3.50033
344 0 0.740818 2.37584
344 1 0.778801 2.84409
345 0 0.818731 3.50033
345 0 0.740818 2.37584
345 1 0.818731 3.50033
345 1 0.778801 2.84409
346 1 0.778801 2.84409
346 1 0.704688 2.02529
346 1 0.818731 3.50033
346 1 0.904837 6.12228
346 2 0.818731 3.50033
347 0 0.860708 4.48464
347 0 0.860708 4.48464
347 1 0.860708 4.48464
348 10 0.740818 2.37584
348 10 0.860708 4.48464
348 10 0.778801 2.84409
349 0 0.818731 3.50033
349 1 0.778801 2.84409
350 0 0.904837 6.12228
350 0 0.778801 2.84409
350 1 0.860708 4.48464
350 1 0.704688 2.02529
351 1 0.740818 2.37584
351 1 0.67032 1.75333
351 1 0.637628 1.53644
351 2 0.740818 2.37584
351 2 0.637628 1.53644
351 2 0.548812 1.0893
352 0 0.778801 2.84409
352 1 0.778801 2.84409
352 1 0.818731 3.50033
352 1 0.818731 3.50033
353 0 0.860708 4.48464
353 0 0.818731 3.50033
354 0 0.67032 1.75333
354 0 0.67032 1.75333
354 1 0.637628 1.53644
354 1 0.704688 2.02529
355 5 0.778801 2.84409
355 5 0.704688 2.02529
356 3 0.778801 2.84409
356 3 0.860708 4.48464
356 4 0.860708 4.48464
356 4 0.740818 2.37584
356 4 0.818731 3.50033
356 4 0.860708 4.48464
357 6 0.778801 2.84409
357 6 0.904837 6.12228
357 6 0.860708 4.48464
357 6 0.818731 3.50033
357 7 0.904837 6.12228
357 7 0.740818 2.37584
357 7 0.951229 9.38076
358 0 0.67032 1.75333
358 0 0.740818 2.37584
358 1 0.57695 1.21289
358 1 0.704688 2.02529
358 1 0.704688 2.02529
358 1 0.778801 2.84409
359 6 0.606531 1.35963
359 7 0.704688 2.02529
359 7 0.704688 2.02529
361 1 0.740818 2.37584
361 1 0.704688 2.02529
362 24 0.818731 3.50033
362 24 0.904837 6.12228
362 25 0.778801 2.84409
363 5 0.904837 6.12228
363 5 0.778801 2.84409
363 5 0.860708 4.48464
363 5 0.778801 2.84409
363 6 0.860708 4.48464
364 1 0.740818 2.37584
364 1 0.704688 2.02529
364 1 0.704688 2.02529
364 2 0.778801 2.84409
365 0 1 19
365 1 0.860708 4.48464
365 1 0.951229 9.38076
365 1 0.704688 2.02529
365 1 0.904837 6.12228
366 0 0.860708 4.48464
366 0 0.860708 4.48464
366 1 0.740818 2.37584
366 1 0.818731 3.50033
366 1 0.860708 4.48464
366 1 0.818731 3.50033
366 1 0.778801 2.84409
367 0 0.740818 2.37584
367 0 0.740818 2.37584
367 1 0.67032 1.75333
368 5 0.818731 3.50033
368 5 0.704688 2.02529
368 5 0.67032 1.75333
368 5 0.606531 1.35963
368 5 0.704688 2.02529
368 6 0.860708 4.48464
368 6 0.860708 4.48464
368 6 0.606531 1.35963
369 2 0.740818 2.37584
369 3 0.637628 1.53644
370 3 0.548812 1.0893
370 3 0.57695 1.21289
370 4 0.606531 1.35963
370 4 0.778801 2.84409
371 0 0.637628 1.53644
371 0 0.67032 1.75333
371 1 0.778801 2.84409
371 1 0.818731 3.50033
372 0 0.704688 2.02529
372 0 0.704688 2.02529
372 1 0.740818 2.37584
372 1 0.778801 2.84409
373 4 0.740818 2.37584
373 4 0.548812 1.0893
373 5 0.740818 2.37584
373 5 0.818731 3.50033
374 10 0.778801 2.84409
374 10 0.740818 2.37584
374 11 0.67032 1.75333
374 11 0.637628 1.53644
375 18 0.704688 2.02529
375 18 0.778801 2.84409
375 19 0.860708 4.48464
375 19 0.67032 1.75333
376 10 0.740818 2.37584
376 10 0.778801 2.84409
376 11 0.67032 1.75333
